Argument ID	URL
E01001	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/64?commentId=3311&toggle_translations=true#comment_3311
E01002	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/968?commentId=1039&toggle_translations=true#comment_1039
E01003	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/968?commentId=1039&toggle_translations=true#comment_1039
E01004	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/64?commentId=175198&toggle_translations=true#comment_175198
E01005	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/64?commentId=175198&toggle_translations=true#comment_175198
E01006	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/64?commentId=175198&toggle_translations=true#comment_175198
E01007	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/27825?commentId=33702&toggle_translations=true#comment_33702
E01008	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/389?commentId=1185&toggle_translations=true#comment_1185
E01009	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/389?commentId=1185&toggle_translations=true#comment_1185
E01010	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/75?commentId=10332&toggle_translations=true#comment_10332
E01011	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/12904?commentId=17821&toggle_translations=true#comment_17821
E01012	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/12904?commentId=17821&toggle_translations=true#comment_17821
E01013	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/11519?commentId=17937&toggle_translations=true#comment_17937
E01014	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/434?commentId=379&toggle_translations=true#comment_379
E01015	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/434?commentId=379&toggle_translations=true#comment_379
E01016	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/75?commentId=245422&toggle_translations=true#comment_245422
E01017	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/1456?commentId=2606&toggle_translations=true#comment_2606
E01018	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/85703?commentId=85141&toggle_translations=true#comment_85141
E01019	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/1481?commentId=49271&toggle_translations=true#comment_49271
E01020	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/927?commentId=80775&toggle_translations=true#comment_80775
E01021	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/927?commentId=80775&toggle_translations=true#comment_80775
E01022	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/3042?commentId=77419&toggle_translations=true#comment_77419
E01023	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/3042?commentId=77419&toggle_translations=true#comment_77419
E01024	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/20759?commentId=25317&toggle_translations=true#comment_25317
E01025	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/64?commentId=2138&toggle_translations=true#comment_2138
E01026	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/10067?commentId=16870&toggle_translations=true#comment_16870
E01027	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/64?commentId=21622&toggle_translations=true#comment_21622
E01028	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/64?commentId=21622&toggle_translations=true#comment_21622
E01029	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/1481?commentId=202951&toggle_translations=true#comment_202951
E01030	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/1481?commentId=202951&toggle_translations=true#comment_202951
E01031	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/6152?commentId=8993&toggle_translations=true#comment_8993
E01032	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/6152?commentId=8993&toggle_translations=true#comment_8993
E01033	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/27660?commentId=33699&toggle_translations=true#comment_33699
E01034	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/27660?commentId=33699&toggle_translations=true#comment_33699
E01035	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/144442?commentId=139822&toggle_translations=true#comment_139822
E01036	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/8185?commentId=32176&toggle_translations=true#comment_32176
E01037	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/8185?commentId=32176&toggle_translations=true#comment_32176
E01038	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/71545?commentId=226812&toggle_translations=true#comment_226812
E01039	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/968?commentId=1361&toggle_translations=true#comment_1361
E01040	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/968?commentId=1361&toggle_translations=true#comment_1361
E01041	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/844?commentId=2162&toggle_translations=true#comment_2162
E01042	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/844?commentId=2162&toggle_translations=true#comment_2162
E01043	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/844?commentId=2162&toggle_translations=true#comment_2162
E01044	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/64?commentId=12271&toggle_translations=true#comment_12271
E01045	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/11453?commentId=16866&toggle_translations=true#comment_16866
E01046	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/6868?commentId=8748&toggle_translations=true#comment_8748
E01047	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/6868?commentId=8748&toggle_translations=true#comment_8748
E01048	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/6868?commentId=8748&toggle_translations=true#comment_8748
E01049	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/6868?commentId=8748&toggle_translations=true#comment_8748
E01050	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/44947?commentId=51208&toggle_translations=true#comment_51208
E01051	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/44947?commentId=51208&toggle_translations=true#comment_51208
E01052	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/1481?commentId=49238&toggle_translations=true#comment_49238
E01053	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/150118?commentId=144739&toggle_translations=true#comment_144739
E01054	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/150118?commentId=144739&toggle_translations=true#comment_144739
E01055	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/150118?commentId=144739&toggle_translations=true#comment_144739
E01056	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/9803?commentId=70192&toggle_translations=true#comment_70192
E01057	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/844?commentId=1396&toggle_translations=true#comment_1396
E01058	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/844?commentId=1396&toggle_translations=true#comment_1396
E01059	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/13960?commentId=17765&toggle_translations=true#comment_17765
E01060	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/13960?commentId=17765&toggle_translations=true#comment_17765
E01061	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/13960?commentId=17765&toggle_translations=true#comment_17765
E01062	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/75?commentId=1999&toggle_translations=true#comment_1999
E01063	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/75?commentId=1999&toggle_translations=true#comment_1999
E01064	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/75?commentId=1999&toggle_translations=true#comment_1999
E01065	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/575?commentId=12677&toggle_translations=true#comment_12677
E01066	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/212290?commentId=227311&toggle_translations=true#comment_227311
E01067	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/212290?commentId=227311&toggle_translations=true#comment_227311
E01068	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/212290?commentId=227311&toggle_translations=true#comment_227311
E01069	https://futureu.europa.eu/en/processes/GreenDeal/f/1/proposals/4197?commentId=18811&toggle_translations=true#comment_18811
